binom	genus	species
Acer saccharinum	Acer	saccharinum
Acer rubrum	Acer	rubrum
Acer campestre	Acer	campestre
Acer platanoides	Acer	platanoides
Acer pseudoplatanus	Acer	pseudoplatanus
Acer negundo	Acer	negundo
Acer saccharum	Acer	saccharum
Acer pensylvanicum	Acer	pensylvanicum
Acer palmatum	Acer	palmatum
acer viburnum	Acer	viburnum
Achillea millefolium	Achillea	millefolium
Achillea filipendulina	Achillea	filipendulina
Aegopodium podagraria	Aegopodium	podagraria
Aesculus octandra	Aesculus	octandra
Aesculus hippocastanum	Aesculus	hippocastanum
Aesculus glabra	Aesculus	glabra
Agastache foeniculum	Agastache	foeniculum
Ageratina altissima	Ageratina	altissima
Ailanthus altissima	Ailanthus	altissima
Alliaria petiolata	Alliaria	petiolata
Allium cernuum	Allium	cernuum
Alnus incana	Alnus	incana
Alnus serrulata	Alnus	serrulata
Amaranthus cruentus	Amaranthus	cruentus
Amelanchier canadensis	Amelanchier	canadensis
Amelanchier alnifolia	Amelanchier	alnifolia
Amelanchier arborea	Amelanchier	arborea
Amorpha fruticosa	Amorpha	fruticosa
Ampelopsis brevipedunculata	Ampelopsis	brevipedunculata
Amsonia tabernaemontana	Amsonia	tabernaemontana
Anemonastrum canadense	Anemonastrum	canadense
Anemone virginiana	Anemone	virginiana
Anemone canadensis	Anemone	canadensis
Anemone quinquefolia	Anemone	quinquefolia
Anethum graveolens	Anethum	graveolens
Apocynum androsaemifolium	Apocynum	androsaemifolium
Aquilegia canadensis	Aquilegia	canadensis
Aquilegia vulgaris	Aquilegia	vulgaris
Aralia racemosa	Aralia	racemosa
Aralia nudicaulis	Aralia	nudicaulis
Arctium minus	Arctium	minus
Aronia arbutifolia	Aronia	arbutifolia
Aronia melanocarpa	Aronia	melanocarpa
Artemisia vulgaris	Artemisia	vulgaris
Asarum canadense	Asarum	canadense
Asclepias syriaca	Asclepias	syriaca
Asclepias incarnata	Asclepias	incarnata
Asclepias tuberosa	Asclepias	tuberosa
Aster cordifolius	Aster	cordifolius
Aureolaria pedicularia	Aureolaria	pedicularia
Baccharis halimifolia	Baccharis	halimifolia
Barbarea vulgaris	Barbarea	vulgaris
Berberis thunbergii	Berberis	thunbergii
Berberis vulgaris	Berberis	vulgaris
Betula lenta	Betula	lenta
Betula nigra	Betula	nigra
Betula papyrifera	Betula	papyrifera
Betula populifolia	Betula	populifolia
Betula alleghaniensis	Betula	alleghaniensis
Betula pendula	Betula	pendula
Betula occidentalis	Betula	occidentalis
Caltha palustris	Caltha	palustris
Canotia holacantha	Canotia	holacantha
Capnoides sempervirens	Capnoides	sempervirens
Carex pensylvanica	Carex	pensylvanica
Carex plantaginea	Carex	plantaginea
Carpinus caroliniana	Carpinus	caroliniana
Carpinus betulus	Carpinus	betulus
Carpopeltis bushiae	Carpopeltis	bushiae
Carya ovata	Carya	ovata
Carya glabra	Carya	glabra
Carya ovalis	Carya	ovalis
Carya carolinae-septentrionalis	Carya	carolinae-septentrionalis
Castanea dentata	Castanea	dentata
Ceanothus americanus	Ceanothus	americanus
Celastrus orbiculatus	Celastrus	orbiculatus
Celtis occidentalis	Celtis	occidentalis
Centaurea stoebe	Centaurea	stoebe
Cephalanthus occidentalis	Cephalanthus	occidentalis
Cercis canadensis	Cercis	canadensis
Chamaecrista fasciculata	Chamaecrista	fasciculata
Chimaphila maculata	Chimaphila	maculata
Chionanthus virginicus	Chionanthus	virginicus
Chionanthus pygmaeus	Chionanthus	pygmaeus
Circaea canadensis	Circaea	canadensis
Circaea lutetiana	Circaea	lutetiana
Cirsium arvense	Cirsium	arvense
Cirsium vulgare	Cirsium	vulgare
Clethra alnifolia	Clethra	alnifolia
Comandra umbellata	Comandra	umbellata
Comptonia peregrina	Comptonia	peregrina
Conoclinium coelestinum	Conoclinium	coelestinum
Corema conradii	Corema	conradii
Coreopsis lanceolata	Coreopsis	lanceolata
Cornus florida	Cornus	florida
Cornus kousa	Cornus	kousa
Cornus amomum	Cornus	amomum
Cornus stolonifera	Cornus	stolonifera
Cornus alternifolia	Cornus	alternifolia
Cornus racemosa	Cornus	racemosa
Cornus sericea	Cornus	sericea
Coronilla varia	Coronilla	varia
Corydalis sempervirens	Corydalis	sempervirens
Corylus americana	Corylus	americana
Corylus cornuta	Corylus	cornuta
Corylus colurna	Corylus	colurna
Crataegus crus-galli	Crataegus	crus-galli
Crocus vernus	Crocus	vernus
Cucumis anguria	Cucumis	anguria
Cypripedium acaule	Cypripedium	acaule
Cyrtomium fortunei	Cyrtomium	fortunei
Dasyochloa pulchella	Dasyochloa	pulchella
Dicentra eximia	Dicentra	eximia
Dichanthelium clandestinum	Dichanthelium	clandestinum
Diervilla lonicera	Diervilla	lonicera
Echinacea purpurea	Echinacea	purpurea
Elaeagnus umbellata	Elaeagnus	umbellata
Epigaea repens	Epigaea	repens
Erigeron annuus	Erigeron	annuus
Erythronium rostratum	Erythronium	rostratum
Erythronium americanum	Erythronium	americanum
Euonymus fortunei	Euonymus	fortunei
Euonymus alatus	Euonymus	alatus
Eupatorium perfoliatum	Eupatorium	perfoliatum
Eupatorium maculatum	Eupatorium	maculatum
Eupatorium coelestinum	Eupatorium	coelestinum
Eupatorium hyssopifolium	Eupatorium	hyssopifolium
Eupatorium fistulosum	Eupatorium	fistulosum
Eurybia divaricata	Eurybia	divaricata
Fagus grandifolia	Fagus	grandifolia
Fagus americana	Fagus	americana
Fagus sylvatica	Fagus	sylvatica
Fallopia japonica	Fallopia	japonica
Foeniculum vulgare	Foeniculum	vulgare
Fothergilla gardenii	Fothergilla	gardenii
Fragaria vesca	Fragaria	vesca
Fraxinus pennsylvanica	Fraxinus	pennsylvanica
Fraxinus americana	Fraxinus	americana
Galanthus nivalis	Galanthus	nivalis
Galanthus elwesii	Galanthus	elwesii
Galium odoratum	Galium	odoratum
Galium aparine	Galium	aparine
Gaultheria procumbens	Gaultheria	procumbens
Geranium maculatum	Geranium	maculatum
Geum canadense	Geum	canadense
Geum urbanum	Geum	urbanum
Glechoma hederacea	Glechoma	hederacea
Gleditsia triacanthos	Gleditsia	triacanthos
Hamamelis virginiana	Hamamelis	virginiana
Hamamelis mollis	Hamamelis	mollis
Helenium autumnale	Helenium	autumnale
Helianthus divaricatus	Helianthus	divaricatus
Heliopsis helianthoides	Heliopsis	helianthoides
Hemerocallis fulva	Hemerocallis	fulva
Hepatica americana	Hepatica	americana
Hesperis matronalis	Hesperis	matronalis
Hesperocyparis arizonica	Hesperocyparis	arizonica
Heuchera villosa	Heuchera	villosa
Heuchera americana	Heuchera	americana
Houstonia longifolia	Houstonia	longifolia
Hydrangea quercifolia	Hydrangea	quercifolia
Hydrangea macrophylla	Hydrangea	macrophylla
Hydrangea petiolaris	Hydrangea	petiolaris
hydrangea petiolaris	Hydrangea	petiolaris
Hypericum gentianoides	Hypericum	gentianoides
Hypericum perforatum	Hypericum	perforatum
Hypoxis hirsuta	Hypoxis	hirsuta
Ilex verticillata	Ilex	verticillata
Ilex cornuta	Ilex	cornuta
Ilex glabra	Ilex	glabra
Ilex opaca	Ilex	opaca
Impatiens capensis	Impatiens	capensis
Iris cristata	Iris	cristata
Jeffersonia diphylla	Jeffersonia	diphylla
Juniperus virginiana	Juniperus	virginiana
Kalmia latifolia	Kalmia	latifolia
Larix decidua	Larix	decidua
Larix laricina	Larix	laricina
Lavandula angustifolia	Lavandula	angustifolia
Lepidium virginicum	Lepidium	virginicum
Lindera benzoin	Lindera	benzoin
Liquidambar styraciflua	Liquidambar	styraciflua
Liriodendron tulipifera	Liriodendron	tulipifera
Lobelia siphilitica	Lobelia	siphilitica
Lupinus polyphyllus	Lupinus	polyphyllus
Lycopodium clavatum	Lycopodium	clavatum
Lycopodium complanatum	Lycopodium	complanatum
Lycopodium dendroideum	Lycopodium	dendroideum
Lysimachia ciliata	Lysimachia	ciliata
Lysimachia quadrifolia	Lysimachia	quadrifolia
Maianthemum canadense	Maianthemum	canadense
Maianthemum racemosum	Maianthemum	racemosum
Mertensia virginica	Mertensia	virginica
Monarda fistulosa	Monarda	fistulosa
Monarda didyma	Monarda	didyma
Monarda stipitatoglandulosa	Monarda	stipitatoglandulosa
Monotropa uniflora	Monotropa	uniflora
Morella pensylvanica	Morella	pensylvanica
Morus alba	Morus	alba
Morus rubra	Morus	rubra
Myrica pensylvanica	Myrica	pensylvanica
Nepeta cataria	Nepeta	cataria
Nyssa sylvatica	Nyssa	sylvatica
Oenothera biennis	Oenothera	biennis
Oreomecon dahliana	Oreomecon	dahliana
Ostrya virginiana	Ostrya	virginiana
Oxalis dillenii	Oxalis	dillenii
Oxalis stricta	Oxalis	stricta
Packera aurea	Packera	aurea
Parthenocissus tricuspidata	Parthenocissus	tricuspidata
Parthenocissus quinquefolia	Parthenocissus	quinquefolia
Penstemon digitalis	Penstemon	digitalis
Penstemon hirsutus	Penstemon	hirsutus
Penstemon calycosus	Penstemon	calycosus
Persicaria maculosa	Persicaria	maculosa
Philadelphus coronarius	Philadelphus	coronarius
Physocarpus opulifolius	Physocarpus	opulifolius
Phytolacca americana	Phytolacca	americana
Phytolacca decandra	Phytolacca	decandra
Pilosella piloselloides	Pilosella	piloselloides
Pinus strobus	Pinus	strobus
Pinus rigida	Pinus	rigida
Pinus edulis	Pinus	edulis
pinus strobus	Pinus	strobus
Platanus occidentalis	Platanus	occidentalis
Podophyllum peltatum	Podophyllum	peltatum
Polygala paucifolia	Polygala	paucifolia
Polygonatum pubescens	Polygonatum	pubescens
Polypodium virginianum	Polypodium	virginianum
Polytrichum juniperinum	Polytrichum	juniperinum
Populus deltoides	Populus	deltoides
Populus tremuloides	Populus	tremuloides
Prunus serotina	Prunus	serotina
Prunus virginiana	Prunus	virginiana
Prunus pensylvanica	Prunus	pensylvanica
Prunus maritima	Prunus	maritima
Pseudognaphalium obtusifolium	Pseudognaphalium	obtusifolium
Ptelea trifoliata	Ptelea	trifoliata
Puschkinia scilloides	Puschkinia	scilloides
Pycnanthemum muticum	Pycnanthemum	muticum
Pycnanthemum virginianum	Pycnanthemum	virginianum
Pycnanthemum tenuifolium	Pycnanthemum	tenuifolium
Pyrola americana	Pyrola	americana
Pyrus calleryana	Pyrus	calleryana
Quercus alba	Quercus	alba
Quercus rubra	Quercus	rubra
Quercus montana	Quercus	montana
Quercus ilicifolia	Quercus	ilicifolia
Quercus bicolor	Quercus	bicolor
Quercus velutina	Quercus	velutina
Quercus palustris	Quercus	palustris
Quercus imbricaria	Quercus	imbricaria
Quercus prinoides	Quercus	prinoides
Quercus muhlenbergii	Quercus	muhlenbergii
Quercus michauxii	Quercus	michauxii
Quercus prinus	Quercus	prinus
Ranunculus repens	Ranunculus	repens
Rhododendron maximum	Rhododendron	maximum
Rhododendron viscosum	Rhododendron	viscosum
Rhus typhina	Rhus	typhina
Rhus glabra	Rhus	glabra
Rhus copallinum	Rhus	copallinum
Robinia hispida	Robinia	hispida
Rosa multiflora	Rosa	multiflora
Rubus allegheniensis	Rubus	allegheniensis
Rubus occidentalis	Rubus	occidentalis
Rudbeckia triloba	Rudbeckia	triloba
Rudbeckia hirta	Rudbeckia	hirta
Rudbeckia fulgida	Rudbeckia	fulgida
Rudbeckia laciniata	Rudbeckia	laciniata
Salix discolor	Salix	discolor
Salix cinerea	Salix	cinerea
Salix babylonica	Salix	babylonica
salix discolor	Salix	discolor
Salix nigra	Salix	nigra
Salvia elegans	Salvia	elegans
Salvia officinalis	Salvia	officinalis
Sanguinaria canadensis	Sanguinaria	canadensis
Sassafras albidum	Sassafras	albidum
Schizophragma hydrangeoides	Schizophragma	hydrangeoides
Scilla siberica	Scilla	siberica
Securigera varia	Securigera	varia
Silene alba	Silene	alba
Smilax rotundifolia	Smilax	rotundifolia
Solanum dulcamara	Solanum	dulcamara
Solidago bicolor	Solidago	bicolor
Solidago caesia	Solidago	caesia
Solidago flexicaulis	Solidago	flexicaulis
Solidago altissima	Solidago	altissima
Solidago juncea	Solidago	juncea
Solidago rugosa	Solidago	rugosa
Solidago odora	Solidago	odora
Solidago gigantea	Solidago	gigantea
Solidago canadensis	Solidago	canadensis
Solidago speciosa	Solidago	speciosa
Spiraea tomentosa	Spiraea	tomentosa
Spiraea alba	Spiraea	alba
Stachys byzantina	Stachys	byzantina
Symphyotrichum novae-angliae	Symphyotrichum	novae-angliae
Symphyotrichum cordifolium	Symphyotrichum	cordifolium
Symphyotrichum pilosum	Symphyotrichum	pilosum
Symplocarpus foetidus	Symplocarpus	foetidus
Syringa vulgaris	Syringa	vulgaris
Tagetes tenuifolia	Tagetes	tenuifolia
Tanacetum vulgare	Tanacetum	vulgare
Taraxacum officinale	Taraxacum	officinale
Tilia americana	Tilia	americana
Tilia cordata	Tilia	cordata
Tithonia rotundifolia	Tithonia	rotundifolia
Toxicodendron radicans	Toxicodendron	radicans
Tradescantia virginiana	Tradescantia	virginiana
Trichostema dichotomum	Trichostema	dichotomum
Trifolium repens	Trifolium	repens
Trifolium pratense	Trifolium	pratense
Trillium grandiflorum	Trillium	grandiflorum
Tropaeolum majus	Tropaeolum	majus
Tsuga canadensis	Tsuga	canadensis
Ulmus rubra	Ulmus	rubra
Ulmus carpinifolia	Ulmus	carpinifolia
Ulmus americana	Ulmus	americana
Ulmus pumila	Ulmus	pumila
Uvularia sessilifolia	Uvularia	sessilifolia
Vaccinium angustifolium	Vaccinium	angustifolium
Vaccinium pallidum	Vaccinium	pallidum
Vaccinium corymbosum	Vaccinium	corymbosum
Vaccinium macrocarpon	Vaccinium	macrocarpon
Veratrum viride	Veratrum	viride
Verbascum thapsus	Verbascum	thapsus
Verbena bonariensis	Verbena	bonariensis
Verbena urticifolia	Verbena	urticifolia
Verbena hastata	Verbena	hastata
Viburnum acerifolium	Viburnum	acerifolium
Viburnum dentatum	Viburnum	dentatum
Vincetoxicum nigrum	Vincetoxicum	nigrum
Viola sororia	Viola	sororia
Viola pedata	Viola	pedata
Zinnia elegans	Zinnia	elegans
Zizia aurea	Zizia	aurea
Zizia aptera	Zizia	aptera
